name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
aarakocra,https://www.aidedd.org/dnd/monstres.php?vo=aarakocra,1/4,humanoid (aarakocra),Medium,12,13,fly,neutral good,NULL,Monster Manual (BR),10.0,14.0,10.0,11.0,12.0,11.0
abjurer,NULL,9,humanoid (any race),Medium,12,84,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
aboleth,https://www.aidedd.org/dnd/monstres.php?vo=aboleth,10,aberration,Large,17,135,swim,lawful evil,Legendary,Monster Manual (SRD),21.0,9.0,15.0,18.0,15.0,18.0
abominable-yeti,NULL,9,monstrosity,Huge,15,137,NULL,chaotic evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
acererak,NULL,23,undead,Medium,21,285,NULL,neutral evil,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
acolyte,https://www.aidedd.org/dnd/monstres.php?vo=acolyte,1/4,humanoid (any race),Medium,10,9,NULL,any alignment,NULL,Monster Manual (SRD),10.0,10.0,10.0,10.0,14.0,11.0
adult-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-black-dragon,14,dragon,Huge,19,195,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),23.0,14.0,21.0,14.0,13.0,17.0
adult-blue-dracolich,NULL,17,undead,Huge,19,225,fly,lawful evil,Legendary,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
adult-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-blue-dragon,16,dragon,Huge,19,225,fly,lawful evil,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0
adult-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-brass-dragon,13,dragon,Huge,18,172,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,10.0,21.0,14.0,13.0,17.0
adult-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-bronze-dragon,15,dragon,Huge,19,212,"fly, swim",lawful good,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0
adult-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-copper-dragon,14,dragon,Huge,18,184,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0
adult-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-gold-dragon,17,dragon,Huge,19,256,"fly, swim",lawful good,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,24.0
adult-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-green-dragon,15,dragon,Huge,19,207,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0
adult-kruthik,NULL,2,monstrosity,Medium,18,39,NULL,unaligned,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
adult-oblex,NULL,5,ooze,Medium,14,75,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
adult-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-red-dragon,17,dragon,Huge,19,256,fly,chaotic evil,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0
adult-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-silver-dragon,16,dragon,Huge,19,243,fly,lawful good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0
adult-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-white-dragon,13,dragon,Huge,18,200,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),22.0,10.0,22.0,8.0,12.0,12.0
air-elemental,https://www.aidedd.org/dnd/monstres.php?vo=air-elemental,5,elemental,Large,15,90,fly,neutral,NULL,Monster Manual (SRD),14.0,20.0,14.0,6.0,10.0,6.0
air-elemental-myrmidon,NULL,7,elemental,Medium,18,117,fly,neutral,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
albino-dwarf-warrior,NULL,1/4,humanoid (dwarf),Medium,13,30,NULL,any alignment,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
aldani,NULL,NULL,monstrosity,Medium,0,0,swim,lawful neutral,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
alhoon,NULL,10,undead,Medium,15,120,NULL,any evil alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
alkilith,NULL,11,fiend (demon),Medium,17,157,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
allip,NULL,5,undead,Medium,13,40,fly,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
allosaurus,https://www.aidedd.org/dnd/monstres.php?vo=allosaurus,2,beast,Large,13,51,NULL,unaligned,NULL,Monster Manual (SRD),19.0,13.0,17.0,2.0,12.0,5.0
ambush-drake,NULL,1/2,dragon,Medium,13,22,NULL,unaligned,NULL,Adventures (Tyranny of Dragons),NULL,NULL,NULL,NULL,NULL,NULL
amnizu,NULL,18,fiend (devil),Medium,21,202,fly,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
