dog_name=|=dog_breed=|=event_datetime=|=active=|=gender=|=sales=|=foodname=|=brand
Northern phalarope=|=Siberian Husky=|=2022-06-29T09:52:28Z=|=false=|=Female=|=638=|=Rappini - Andy Boy=|=Kumciaczkos
Avocet, pied=|=Siberian Husky=|=2022-07-04T23:21:43Z=|=false=|=Male=|=1197=|=Soup - Campbells Asian Noodle=|=Holoubek Corp
Galapagos sea lion=|=Poodle=|=2021-03-21T16:50:31Z=|=false=|=Male=|=1607=|=Sugar - Icing=|=Holoubek Corp
Comb duck=|=Rottweiler=|=2020-04-24T14:44:23Z=|=false=|=Female=|=466=|=Chicken Thigh - Bone Out=|=Kloburg
African elephant=|=Labrador Retriever=|=2020-09-05T00:39:20Z=|=false=|=Male=|=557=|=Napkin - Beverge, White 2 - Ply=|=Sznippers
White-winged tern=|=German Shepherd=|=2022-07-13T09:38:43Z=|=false=|=Male=|=134=|=Water - Green Tea Refresher=|=Holoubek Corp
Monkey, bleeding heart=|=Siberian Husky=|=2022-05-25T14:10:47Z=|=true=|=Male=|=1675=|=Teriyaki Sauce=|=Miautex
Gecko, bent-toed=|=Golden Retriever=|=2021-04-04T00:34:10Z=|=false=|=Bigender=|=1068=|=Scallops - In Shell=|=Xen
Cat, african wild=|=Siberian Husky=|=2020-08-12T11:50:36Z=|=true=|=Female=|=1982=|=Icecream - Dstk Strw Chseck=|=Kloburg
Hawk, red-tailed=|=Boxer=|=2022-04-15T06:40:04Z=|=false=|=Female=|=113=|=Lid Coffee Cup 8oz Blk=|=Holoubek Corp
Flycatcher, tyrant=|=Dachshund=|=2022-07-18T12:06:15Z=|=false=|=Female=|=582=|=Cheese Cloth No 100=|=Miautex
Sarus crane=|=Poodle=|=2022-09-24T18:08:51Z=|=true=|=Female=|=1706=|=Lotus Rootlets - Canned=|=Xen
Macaw, blue and gold=|=Rottweiler=|=2020-05-17T08:31:32Z=|=true=|=Male=|=138=|=Water - Aquafina Vitamin=|=Miautex
Radiated tortoise=|=Golden Retriever=|=2022-06-04T02:59:47Z=|=false=|=Male=|=1008=|=Table Cloth 81x81 Colour=|=Sznippers
Red-tailed hawk=|=Rottweiler=|=2022-03-22T14:38:23Z=|=true=|=Male=|=271=|=Wine - Shiraz Wolf Blass Premium=|=Kumciaczkos
Stork, openbill=|=Rottweiler=|=2022-11-23T20:20:49Z=|=false=|=Male=|=1408=|=Coffee - Colombian, Portioned=|=Kloburg
Blue-footed booby=|=Poodle=|=2022-08-07T16:08:03Z=|=true=|=Male=|=591=|=Pepper - Paprika, Hungarian=|=Xen
Dove, galapagos=|=Bulldog=|=2022-07-12T06:23:45Z=|=true=|=Female=|=1896=|=Fenngreek Seed=|=Sznippers
Common turkey=|=Rottweiler=|=2020-12-06T11:15:56Z=|=true=|=Female=|=1166=|=Yogurt - Assorted Pack=|=Kumciaczkos
Boa, cook's tree=|=Siberian Husky=|=2020-11-24T05:51:30Z=|=true=|=Non-binary=|=885=|=Black Currants=|=Holoubek Corp
Possum, pygmy=|=Rottweiler=|=2020-10-29T17:31:10Z=|=false=|=Male=|=1648=|=Snapple Raspberry Tea=|=Witold's and Jerzy's
Stork, woolly-necked=|=Labrador Retriever=|=2022-10-24T05:33:21Z=|=false=|=Bigender=|=1523=|=Fish - Bones=|=Xen
River wallaby=|=Siberian Husky=|=2021-04-13T15:53:11Z=|=true=|=Male=|=284=|=Salmon - Atlantic, Fresh, Whole=|=Kloburg
Four-striped grass mouse=|=Boxer=|=2021-07-08T22:50:39Z=|=true=|=Male=|=1246=|=Beef - Eye Of Round=|=Miautex
White-fronted bee-eater=|=Labrador Retriever=|=2022-10-13T15:00:57Z=|=false=|=Female=|=112=|=Maintenance Removal Charge=|=Kloburg
Wallaby, dama=|=Beagle=|=2021-07-24T23:50:49Z=|=true=|=Female=|=1393=|=Potatoes - Idaho 100 Count=|=Sznippers
Crake, african black=|=Siberian Husky=|=2023-04-05T13:59:44Z=|=false=|=Female=|=1515=|=Eel - Smoked=|=Xen
Ibis, sacred=|=Bulldog=|=2022-03-11T15:19:29Z=|=true=|=Female=|=1613=|=Cabbage - Savoy=|=Kumciaczkos
Stilt, black-winged=|=German Shepherd=|=2022-12-18T13:14:53Z=|=false=|=Female=|=161=|=Myers Planters Punch=|=Kumciaczkos
