movie_title;release_date;duration_minutes;genre;director;cast;language;country_of_origin;rating;box_office_revenue;currency
Going Postal;7/15/1945;68;Comedy;Jenilee O'Brien;Darius Beidebeke;Quechua;China;PG;747868361;Yuan Renminbi
Cannonball Run II;8/18/1996;104;Thriller;Isadore Chalmers;Goldi Iltchev;Afrikaans;Russia;R;547810365;Ruble
Olsen Gang on the Track, The (Olsen-banden på sporet);8/15/1952;64;Horror;Robinet Betts;Katalin Garretts;Czech;China;R;832228664;Yuan Renminbi
Cabinet of Caligari, The;09.09.2022;233;Sci-Fi;Morly Fackney;Prudence Cosson;Amharic;Greece;PG-13;107150807;Euro
Revenge of the Nerds III: The Next Generation;10/20/1916;81;Drama;Cly Jorez;Ephraim Cokly;Tsonga;United States;G;455571006;Dollar
Last Stop for Paul;05.12.1982;80;Drama;Lenee McNellis;Alayne Radage;Filipino;China;R;996301037;Yuan Renminbi
Arthur and the Invisibles;2/21/1917;104;Action;Tabbitha Bordman;Thorny Carcas;English;China;R;514470144;Yuan Renminbi
Waking Sleeping Beauty;03.03.2012;64;Action;Murial Milbank;Cleopatra Eingerfield;Croatian;Burundi;PG;19271895;Franc
Gardenia;7/28/1976;176;Action;Berkeley Nockles;Rossie Galbreth;Belarusian;Colombia;G;246538349;Peso
God's Little Acre;03.03.1943;163;Action;Lorette Terbeck;Mary Huegett;Lao;Luxembourg;G;208225473;Euro
Werner Herzog Eats His Shoe;01.03.1981;157;Thriller;Linn Liebmann;Gregoire Erskin;Nepali;Indonesia;PG;321930061;Rupiah
Secrets;09.04.1979;105;Drama;Malina Rowston;Andre Teggin;Hiri Motu;Brazil;PG-13;522272768;Real
Gravity;2/22/1934;79;Sci-Fi;Anatol Mosby;Bart Myrtle;Romanian;China;NC-17;772896127;Yuan Renminbi
Three Brothers, The (Les trois frères);11/23/1996;147;Thriller;Marylinda Swatten;Gorden Flooks;Mongolian;Netherlands;PG-13;409189421;Euro
Woman of Paris, A;6/15/1967;221;Thriller;Flynn Darwood;Tansy McIvor;Filipino;Germany;NC-17;410801363;Euro
Shadows in Paradise (Varjoja paratiisissa);11/26/1965;61;Comedy;Jobina Hallifax;Cos Howsego;Yiddish;Poland;NC-17;585124567;Zloty
Wedding Photographer, The (Bröllopsfotografen);07.05.1972;190;Comedy;Neilla Ludlow;Pip Musicka;Macedonian;China;PG;151217022;Yuan Renminbi
Vital Signs;08.11.1966;157;Action;Xena Smyley;Enrico Mityushkin;Khmer;Indonesia;G;377890512;Rupiah
Between the Folds;10/20/1993;196;Drama;Harald Barrowcliff;Julie Cheyney;Gujarati;United Kingdom;PG;53773046;Pound
Invasion of the Body Snatchers;03.03.1986;79;Horror;Thebault Tuxill;Rutherford Merchant;Assamese;Peru;PG-13;933101133;Sol
Wolfen;6/19/1935;185;Action;Linnea Coughlin;Rosie Roebottom;Persian;France;R;691996850;Euro
Good Wife, The;12/26/2018;147;Sci-Fi;Torin Guislin;Emmanuel Neller;Portuguese;China;G;943078322;Yuan Renminbi
Patton Oswalt: Tragedy Plus Comedy Equals Time;5/19/1953;124;Action;Florie de Tocqueville;Zedekiah Antognozzii;Bengali;Ecuador;NC-17;196178126;Dollar
Limelight;10/21/1989;210;Action;Rene Gissing;Waverly Ragsdale;Estonian;Poland;PG;874673869;Zloty
Un Piede in paradiso;1/27/1939;88;Action;Mickey Cottrill;Bren Mitcham;Zulu;Portugal;NC-17;361126215;Euro
Big Empty, The;9/15/1997;204;Action;Bailey Kobpa;Doralin Fulun;Icelandic;Panama;PG-13;624734039;Balboa
Landscape with a Woman (Zena s krajolikom);09.10.1902;111;Horror;Carey Gleder;Chastity Chesser;Finnish;China;G;900160954;Yuan Renminbi
Josh and S.A.M.;12/14/1941;114;Action;Nessy Sinclaire;Sancho Averall;Portuguese;Morocco;G;25699984;Dirham
Tamara;11.06.1996;233;Drama;Ludovika Ownsworth;Garik Codrington;Romanian;Indonesia;R;884577496;Rupiah
Metsän tarina;7/13/1977;156;Thriller;Garvey Shipway;Ashly Giovanni;Finnish;Myanmar;G;412991664;Kyat
Cameraman's Revenge, The (Mest kinematograficheskogo operatora);1/27/1935;228;Thriller;Eward Smidmore;Elton Wathey;Malay;Philippines;PG-13;610252726;Peso
Normal;10.12.2022;178;Sci-Fi;Melvin Kippen;Collette Clayworth;Persian;Mexico;PG-13;368517491;Peso
Six Pack;11.02.1966;180;Drama;Marylou Payne;Mar Cunney;Fijian;Brazil;PG;395121308;Real
American Pie Presents Beta House (American Pie 6: Beta House);12.04.2018;212;Romance;Noll Christie;Zulema Beatens;Indonesian;China;NC-17;136955036;Yuan Renminbi
Minnie and Moskowitz;07.09.1932;190;Drama;Levey Dalgardno;Ruddy Barti;Chinese;Indonesia;PG;524513941;Rupiah
Starstruck;10/20/2020;168;Sci-Fi;Brandie Ludford;Vaclav Pickvance;Marathi;France;PG;647760020;Euro
Wounds, The (Rane);01.02.1930;147;Horror;Audrey Gert;Harwilll Wilstead;Icelandic;Morocco;G;977155300;Dirham
Oki's Movie (Ok-hui-ui yeonghwa);8/15/1935;63;Thriller;Ysabel Crowdace;Delainey Euston;Italian;Philippines;NC-17;625063629;Peso
Dinoshark;10/16/1931;166;Thriller;Millisent Mackleden;Cheslie Drogan;Finnish;Russia;G;135371936;Ruble
Wallace & Gromit in The Curse of the Were-Rabbit;12.08.1996;179;Comedy;Aurora Mabbott;Allison Foskett;Azeri;United States;NC-17;550688799;Dollar
Man on the Train (Homme du train, L');06.08.1952;151;Romance;Elna Hemshall;Lonnie Prendergrass;Dhivehi;United Kingdom;PG-13;106516662;Pound
Unprecedented: The 2000 Presidential Election;11/14/2002;178;Drama;Lynnelle Houtby;Darelle Cooksey;Aymara;Russia;G;807202546;Ruble
Young Americans, The;11/28/2013;183;Comedy;Eveline Johnston;Darcee Dowman;Danish;Sweden;R;373248319;Krona
Fall of the House of Usher, The (Zánik domu Usheru);06.05.2019;104;Drama;Dalis Drayton;Kelli Scrauniage;Pashto;Indonesia;PG;352785740;Rupiah
O-Bi, O-Ba - The End of Civilization (O-bi, O-ba - Koniec cywilizacji);10.11.1989;212;Action;Albertina Whordley;Way Kingsworth;Khmer;Russia;G;925827209;Ruble
Spirit of the Beehive, The (Espíritu de la colmena, El);07.12.1933;126;Romance;Tiler Boman;Hailey Vasiliev;Bosnian;China;NC-17;53536278;Yuan Renminbi
V/H/S: Viral;6/25/1906;229;Drama;Vickie Rolinson;Nicko Scade;German;China;PG;288666840;Yuan Renminbi
Last Holiday;12.04.1918;132;Action;Rikki Dinsey;Milena Skipworth;Belarusian;China;G;271506806;Yuan Renminbi
Little Lord Fauntleroy;03.06.1922;225;Action;Gerry Boobier;Clementia Reichhardt;Swati;Russia;PG-13;551940790;Ruble
From Within;5/15/1980;106;Horror;Chen Moss;Sharlene Alesio;Norwegian;Tanzania;PG-13;248619300;Shilling
Perfect Circle, The (Savrseni krug);11.12.2010;96;Thriller;Moina Abramzon;Connie Aymes;Finnish;China;R;695089293;Yuan Renminbi
Other People's Money;3/30/1922;190;Action;Elka Cavie;Cassie McShirie;Kurdish;Russia;NC-17;775145008;Ruble
You May Not Kiss the Bride;10/14/1983;191;Action;Selig Degue;Meriel Excell;Burmese;Vietnam;G;585548558;Dong
Purge (Puhdistus);3/28/1928;217;Horror;Nancey Alliband;Hinda Burnsides;Romanian;Panama;PG-13;37718980;Balboa
Under the Sun of Satan (Sous le soleil de Satan);04.02.1906;153;Romance;Bev Gillean;Terese MacKinnon;Georgian;Portugal;R;947024178;Euro
Happy Ever Afters;12.05.1985;186;Action;Inez Winney;Guinevere Seymour;Lithuanian;Canada;PG;138127724;Dollar
Age of Uprising: The Legend of Michael Kohlhaas (Michael Kohlhaas);4/18/1952;139;Romance;Hillyer Chesters;Poul Lissenden;Macedonian;Portugal;R;16808334;Euro
Standard Operating Procedure;11/27/1991;140;Horror;Mathias Bangiard;Consuela Bloxham;Dhivehi;Venezuela;G;504362632;Bolivar
All's Well;4/19/1932;168;Romance;Dorry Wulfinger;Clement Robuchon;Pashto;Philippines;PG;851938856;Peso
Dogs in Space;02.05.1997;134;Thriller;Joshuah Tootin;Emma Gower;Finnish;Russia;PG;243509584;Ruble
Monkey Trouble;3/22/1932;195;Thriller;Agnesse Troker;Florie Bourges;Latvian;Libya;PG-13;27103773;Dinar
Front Page, The;6/26/1955;216;Romance;Ignacio Timperley;Hermia Enocksson;Tajik;China;PG;153437489;Yuan Renminbi
Cousin Bette;12.05.1923;128;Action;Danika Trigwell;Pamela Jessope;Lao;China;PG-13;5296588;Yuan Renminbi
Somebody Up There Likes Me;10/25/1925;121;Romance;Cherish Coughan;Fransisco Darben;Catalan;Vietnam;NC-17;404962372;Dong
In the Shadow of Doubt (Epäilyksen varjossa);1/25/1968;93;Action;Bee Liversedge;Margy Ravelus;Kurdish;Colombia;PG;13183352;Peso
I Just Didn't Do It (Soredemo boku wa yattenai);11.01.1903;196;Thriller;Floria Keith;Mickie Garms;Catalan;Kosovo;NC-17;250718920;Euro
Sharktopus;6/24/1907;218;Action;Nicolas Gorrie;Travers MacKain;English;China;G;268373175;Yuan Renminbi
Returner (Ritaanaa);9/17/1913;206;Drama;Jessy Bangle;Rafi Fennell;Arabic;Russia;PG;85685200;Ruble
588 Rue Paradis (Mother);2/17/1967;80;Thriller;Shay Measor;Smitty Lewson;Tok Pisin;Iraq;G;638721988;Dinar
Haunted Castle, The (Hiroku kaibyô-den);8/30/1941;156;Action;Donni Wolfarth;Gilberta Oxteby;Finnish;China;G;435796902;Yuan Renminbi
Cowspiracy: The Sustainability Secret;1/24/1957;92;Comedy;Stesha Elderton;Monte Craigmile;Korean;Brazil;PG-13;420721269;Real
Boston Strangler, The;12.04.2006;200;Horror;Kylila Gallifont;Lelia McRuvie;Persian;Czech Republic;PG-13;614981964;Koruna
Gods of the Plague (Götter der Pest);10/26/2003;68;Comedy;Creight Newcomen;Marylin Bradden;Czech;Angola;NC-17;691475329;Kwanza
Easy Virtue;4/26/1932;232;Action;Tammi Frede;Evanne Bettanay;Punjabi;Malaysia;NC-17;668651253;Ringgit
Kids in America;10/18/2022;73;Action;Allister D'Hooghe;Towny Martine;Afrikaans;Sweden;PG-13;84787613;Krona
Sexy Baby;10/22/1931;82;Action;Chickie Sare;Hubert Pawnsford;Portuguese;Brazil;PG-13;387557470;Real
Any Number Can Play;12/13/1992;88;Sci-Fi;Euphemia Ghiotto;Verla Heasley;Marathi;Croatia;G;622373778;Kuna
As We Were Dreaming;12/22/1941;98;Comedy;De witt Dulake;Trudy Lamas;Maltese;Indonesia;PG;323748945;Rupiah
Shanghai;3/23/1906;229;Thriller;Sigismund Walby;Margarethe Clint;Portuguese;China;PG-13;480734671;Yuan Renminbi
Sleep Furiously;6/25/1915;179;Thriller;Barnabas Cordle;Kalindi Clifton;Yiddish;Honduras;NC-17;350182448;Lempira
Perched on a Tree (Sur un arbre perché);6/15/1963;115;Drama;Llywellyn Argabrite;Ruthanne Calltone;Telugu;Uganda;NC-17;547654625;Shilling
Casanova's Big Night;4/21/1904;71;Romance;Andromache Gearing;Dianne Fidal;Indonesian;Poland;NC-17;415981206;Zloty
Deadly Companions, The;11.04.2010;115;Sci-Fi;Sandy Newey;Tim Nelson;Montenegrin;France;R;12430029;Euro
Far from Home;12.03.2009;75;Horror;Lanna Balffye;Whitaker Trower;Chinese;China;PG;350603065;Yuan Renminbi
Xanadu;5/23/1930;95;Horror;Yolanthe Fright;Elia Munton;Kannada;Japan;NC-17;454522815;Yen
Grand Seduction, The;10/30/2007;79;Sci-Fi;Ricoriki Colliber;Egbert McAuslan;Tajik;China;G;737089780;Yuan Renminbi
Garage Days;03.01.1924;158;Comedy;Biddy Janusik;Gail Lampke;Norwegian;France;NC-17;649989380;Euro
Wash, The;11/14/1913;175;Horror;Pietrek Wyllis;Sumner Eirwin;Irish Gaelic;China;PG-13;383866811;Yuan Renminbi
Private Detective 62;07.10.1968;169;Drama;Court Kinforth;Brig Huckerbe;Gagauz;China;R;539425199;Yuan Renminbi
Tracker, The;1/28/1977;229;Romance;Germaine Huggin;Ansel Coldtart;Danish;Philippines;NC-17;794275063;Peso
Class Trip, The (La classe de neige);12/28/1934;149;Horror;Ned Skowcraft;Heath Snalum;Dutch;Poland;G;483831729;Zloty
Red Dawn;04.08.1932;126;Romance;Daisie Bromehead;Porter Sandeson;Malay;Argentina;NC-17;298542251;Peso
Tears of the Black Tiger (Fah talai jone);04.04.1902;81;Thriller;Kassi Sommerly;Kendre Brocklebank;Armenian;Philippines;PG-13;293670200;Peso
All the Boys Love Mandy Lane;8/23/1920;171;Horror;Pate Scase;Kalindi Crowley;Kyrgyz;Nigeria;R;55424939;Naira
Buffalo Girls;10.01.1905;69;Comedy;Ophelia Reynalds;Benedikt Hinckes;French;Finland;R;812872970;Euro
Demon Lover Diary;11/30/1935;213;Drama;Yardley Overlow;Hamish Taffee;Croatian;Indonesia;PG;316682944;Rupiah
The Sky Dragon;11.12.1911;232;Thriller;Christy Provost;Micheil Kinkade;Kyrgyz;China;PG-13;93061036;Yuan Renminbi
Admission;9/18/2001;153;Comedy;Kristofer Brownhill;Mariel Botton;Oriya;Brazil;R;124779024;Real
Where Love Has Gone;4/27/1979;212;Comedy;Bran Iori;Alfred Bennett;Aymara;Indonesia;NC-17;580614038;Rupiah
Dracula Untold;6/28/1908;79;Comedy;Moreen Devenport;Clywd Hildrew;Punjabi;Sweden;PG-13;98265260;Krona
Forbidden Planet;2/21/2002;230;Comedy;Maurene Jarret;Yanaton Mark;Afrikaans;Burkina Faso;PG-13;4171285;Franc
Springsteen & I;7/13/1928;194;Thriller;Ignatius Winchester;Evy Pargent;Dhivehi;China;NC-17;299885973;Yuan Renminbi
So Undercover;3/17/1956;162;Action;Genevieve Ison;Carolann Bilham;Hindi;Guatemala;PG;152213590;Quetzal
The Lost Continent;05.04.1995;211;Action;Anna Ruos;Corliss Spadaro;Dari;Sweden;G;712387713;Krona
About Last Night;04.10.1961;75;Comedy;Molly Viggers;Nataniel Speers;French;China;PG-13;619972890;Yuan Renminbi
New Adventures of Pippi Longstocking, The;3/13/1970;130;Sci-Fi;Tani Roderigo;Johan Zanicchi;Māori;Philippines;NC-17;130466742;Peso
Hits;1/16/1924;107;Action;Mark Farnall;Hillary Saines;Gagauz;China;PG-13;741785626;Yuan Renminbi
South of Heaven, West of Hell;06.04.2021;238;Romance;Clemente Vautier;Chad Runcieman;Maltese;Afghanistan;PG;858458696;Afghani
The Pokrovsky Gates;6/27/1977;90;Romance;Ganny Garrod;Bea Kinnin;Tamil;Liberia;PG;798298032;Dollar
Road Games (a.k.a. Roadgames);4/25/1940;112;Horror;Levi Goullee;Denny Strank;Assamese;Indonesia;R;552493019;Rupiah
Robe, The;11/18/1994;164;Comedy;Zenia Carling;Ranique Worden;West Frisian;France;PG-13;671377146;Euro
Abbott and Costello Go to Mars;3/26/1970;196;Drama;Kelley Steedman;Adrianne Dainton;Hindi;China;G;96375532;Yuan Renminbi
Onibaba;5/15/1993;170;Romance;Gannon Attenborrow;Mariya Queen;Dari;Czech Republic;PG;725775118;Koruna
East Meets West (Dung sing sai tsau 2011);10/13/2011;168;Sci-Fi;Eduard Swithenby;Skelly Butcher;Albanian;Guinea;R;65755236;Franc
Behind the Screen;9/28/1946;217;Action;Leland Stears;Conni Sertin;Maltese;China;NC-17;243106271;Yuan Renminbi
Medea;1/23/1996;139;Romance;Ardath Keavy;Barn Trundell;Fijian;United Arab Emirates;NC-17;6836583;Dirham
Project A 2 ('A' gai wak juk jap);9/29/1939;197;Action;Blythe Flinn;Che Kahen;Lithuanian;Czech Republic;PG;571958811;Koruna
Proud Valley, The;02.08.2006;131;Thriller;Karen Eilers;Kim Eynald;Dari;China;PG;109648725;Yuan Renminbi
Alien Escape;3/19/1979;203;Action;Raul Iwaszkiewicz;Franky Riches;Oriya;China;G;78649639;Yuan Renminbi
